City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
442,Otradnoye,RU,78.85,clear sky,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
445,Sigli,ID,80.13,overcast clouds,5.3848,95.9609,Losmen Dua Mali
448,Marsaxlokk,MT,86.61,clear sky,35.8419,14.5431,Water's Edge
450,Phaltan,IN,77.4,overcast clouds,17.9833,74.4333,Hotel New Vijay
454,Korla,CN,81.68,clear sky,41.7597,86.1469,Gulisitan Hotel
455,Brunswick,US,83.89,few clouds,41.2381,-81.8418,Quality Inn Brunswick Cleveland South
458,Kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
459,Diplo,PK,85.05,broken clouds,24.4667,69.584,Mukhi Ahmed Ali Residency
461,Kigoma,TZ,76.53,few clouds,-4.8769,29.6267,MJI Mwema Lodge
465,Bijapur,IN,77.99,overcast clouds,16.8333,75.7,Rajdhani Lodge
466,Tura,IN,75.88,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
468,Olecko,PL,80.01,few clouds,54.0337,22.507,Hotel Colosseum
471,Nichinan,JP,80.13,overcast clouds,31.6,131.3667,Guest House Aki
472,Huaicheng,CN,77.72,clear sky,23.9051,112.1931,Tengye Hotel
473,Benjamin Constant,BR,78.93,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
474,Hattiesburg,US,89.92,scattered clouds,31.3271,-89.2903,Quality Inn & Suites
480,Honiara,SB,76.51,few clouds,-9.4333,159.95,Heritage Park Hotel
481,Tocache,PE,84.87,scattered clouds,-8.1842,-76.5125,Residencial JATER
484,Padang,ID,77.67,overcast clouds,-0.9492,100.3543,Mercure Padang
487,Dakar,SN,88.68,scattered clouds,14.6937,-17.4441,Novotel Dakar
490,Xiamen,CN,86.05,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
494,Belleville,CA,82.18,scattered clouds,44.1788,-77.3705,Ramada by Wyndham Belleville Harbourview Conference Centre
497,Qui Nhon,VN,78.87,overcast clouds,13.7667,109.2333,Seagull Hotel
498,Ilebo,CD,83.35,broken clouds,-4.3167,20.5833,Hôtel BUMAK
505,Mweka,CD,83.48,broken clouds,-4.85,21.5667,Guest House Boshab
506,Barcelos,PT,86.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
518,Jining,CN,75.61,clear sky,35.405,116.5814,Yunhe Star Hotel
520,Nizwa,OM,89.98,overcast clouds,22.9333,57.5333,Orient Apartments
521,Laguna,US,87.08,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
