City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Kysyl-Syr,RU,63.8986,122.7617,61.2,99,100,6.73,overcast clouds
224,Bubaque,GW,11.2833,-15.8333,78.62,85,81,18.32,broken clouds
225,Siwana,IN,25.6333,72.4167,87.75,65,100,13.24,overcast clouds
226,Fairbanks,US,64.8378,-147.7164,56.82,74,75,3.44,broken clouds
227,Sing Buri,TH,14.85,100.2333,81.09,89,100,9.48,light rain
228,Westport,US,41.1415,-73.3579,94.41,64,0,6.91,clear sky
229,Esperance,AU,-33.8667,121.9,53.44,75,59,20.4,broken clouds
230,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.59,78,40,10.36,scattered clouds
231,Vrangel,RU,42.7297,133.0839,63.81,96,95,6.87,overcast clouds
232,Thinadhoo,MV,0.5333,72.9333,81.93,72,97,10.76,overcast clouds
233,Faya,SA,18.3851,42.4509,69.91,64,99,5.84,overcast clouds
234,Adrar,MR,20.5022,-10.0711,102.25,22,7,7.87,clear sky
235,Valparaiso,CL,-33.0393,-71.6273,57.43,82,75,4.61,mist
236,Nemuro,JP,43.3236,145.575,56.61,90,0,8.79,clear sky
237,Ahipara,NZ,-35.1667,173.1667,54.9,82,90,9.48,overcast clouds
238,Lavrentiya,RU,65.5833,-171.0,39.63,91,100,22.7,light rain
239,Kieta,PG,-6.2167,155.6333,79.81,78,96,3.2,overcast clouds
240,Zyryanka,RU,65.75,150.85,44.87,76,3,5.23,clear sky
241,Amla,IN,21.9333,78.1167,72.5,94,100,6.93,light rain
242,Shimoda,JP,34.6667,138.95,75.11,84,100,6.85,overcast clouds
243,Naze,JP,28.3667,129.4833,83.32,88,79,13.29,broken clouds
244,Sibolga,ID,1.7427,98.7792,77.22,87,35,3.85,scattered clouds
245,Palu,ID,-0.8917,119.8707,75.85,95,65,2.62,broken clouds
246,Saint-Francois,FR,46.4154,3.9054,83.64,42,0,5.75,clear sky
247,Udachnyy,RU,66.4167,112.4,48.45,100,100,1.72,light rain
248,Sekoma,BW,-24.4,23.8833,65.39,33,47,7.05,scattered clouds
249,Bethel,US,41.3712,-73.414,92.35,67,40,6.91,scattered clouds
250,Nijar,ES,36.9665,-2.206,91.04,38,0,16.11,clear sky
251,Hearst,CA,49.6835,-83.6665,64.65,92,100,10.71,overcast clouds
252,Gadung,PH,6.8025,124.02,78.75,84,97,5.28,light rain
253,Sola,VU,-13.8833,167.55,80.58,79,9,18.5,clear sky
254,San Patricio,US,28.017,-97.5169,93.16,44,2,14.7,clear sky
255,Casablanca,MA,33.5928,-7.6192,93.42,69,40,11.5,scattered clouds
256,Coihaique,CL,-45.5752,-72.0662,33.75,93,75,3.44,broken clouds
257,Brookhaven,US,31.5791,-90.4407,85.8,57,68,9.55,broken clouds
